"reflectionGroup","author","votes","type","createdAt","discussionThread","prompt","content"
"Změna pohlaví nezletilých v","Anonymous",0,"Reflection","2023-10-20T20:50:22.933Z","","🚧 What does failure look like?","Změna pohlaví nezletilých v USA"
"Univerzita... aneb když vám","Anonymous",0,"Reflection","2023-10-19T13:54:12.135Z","","🚧 What does failure look like?","Univerzita... aneb když vám intuice říká - skonči - máte skončit..."
"Máme nový coworking v HK 😏 A","Anonymous",0,"Reflection","2023-10-19T13:52:00.387Z","","🏆 What does success look like?","Máme nový coworking v HK 😏 A stojí zlomek toho co v PCE."
"Vážně svět spěje tolik do","Anonymous",0,"Reflection","2023-10-16T14:47:06.930Z","","🚧 What does failure look like?","Vážně svět spěje tolik do sraček, že Německo podporuje Izrael 🤔"
"Voláme si s Martinem Goldem","Anonymous",0,"Reflection","2023-10-12T08:43:21.076Z","","🚧 What does failure look like?","Voláme si s Martinem Goldem na meetu a najednou mu zvoní telefon - iPhone vyzvánění 😱

Tak se ho ptám, jak je s tím spoko..

""Ale jo, je to takový lepší Xiaomi a má to HW tlačítko na mute, takže docela dobrý"" 👌

Nikdy jsem neslyšel lepší definici <3"
"🐻 Chatu","Anonymous",0,"Reflection","2023-10-12T17:51:44.065Z","","🏆 What does success look like?","🐻 Kodiaq - je to ideální auto na chatu?"
"Koupím si hovězí zadní. Je to","Anonymous",0,"Reflection","2023-10-11T20:40:54.710Z","","🚧 What does failure look like?","Koupím si hovězí zadní. Je to ze samice nebo samce? Udělá ze mě gaye to, že jím samčí maso?"
"Co se to stalo v Nextappu na","Anonymous",0,"Reflection","2023-10-04T06:23:15.953Z","","🚧 What does failure look like?","Co se to stalo v Nextappu na Matějově projektu a jak si s touto situací Matěj po 3 týdnech poradil? Vzal pracovní nabídku v Monetě?"
"Zahlasovat pro horskou chatu","Anonymous",0,"Reflection","2023-10-04T06:21:39.921Z","","🚧 What does failure look like?","Zahlasovat pro horskou chatu na silvestra a pak vzít něco jiného aniž by se třeba nezeptal organizátora jestli už nějakou chatu nebooknul? Přesně to by se asi dělat nemělo 👌

Nehledě na to, že někdo zaškrtnul, že doma bude brát drogy a pak tomuto přispěje s nabídkou surfování 🏄"
"Chlapi.. už máte všichni","Anonymous",0,"Reflection","2023-10-04T13:57:21.587Z","","🏆 What does success look like?","Chlapi.. už máte všichni objednanýho Pixela? 📵"
"Co-working v Pardubicích - je","Anonymous",0,"Reflection","2023-10-04T13:56:56.430Z","","🚧 What does failure look like?","Co-working v Pardubicích - je to dobrá věc? Můžou zážitek z kanceláře zkazit finanční poradci? Proč jejich šéfa chtěl Petr umlátit cihlou? 🧱"
